gender,sexual_orientation,location_type,numeric_value(location),income_bracket,numeric_value(income),education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,target_variable
Non-binary,Asexual,Metro,0,Lower-Middle,2,No Formal Education,"Tattoos, Dancing, History",131,Addicted,0.21,Balanced,5,3,3,307,91,0.66,17,Late Night,Date Happened,0
Non-binary,Straight,Suburban,2,Middle,3,PhD,"Makeup, Coding, Cooking",8,Very Low,0.38,Balanced,76,7,5,440,24,0.35,19,Evening,Ghosted,2
Transgender,Demisexual,Remote Area,5,Upper-Middle,4,Diploma,"Meditation, Pets, K-pop",252,Extreme User,0.54,Optimistic,113,18,5,416,100,0.1,0,Late Night,Catfished,0
Non-binary,Lesbian,Suburban,2,Middle,3,No Formal Education,"Stand-up Comedy, Photography, Art",216,Extreme User,0.64,Optimistic,37,27,0,361,34,0.12,21,Evening,Mutual Match,0
Non-binary,Straight,Remote Area,5,High,5,High School,"Yoga, Anime, Movies",192,Extreme User,0.8,Swipe Maniac,19,2,1,351,10,0.05,18,Morning,Blocked,0
Prefer Not to Say,Bisexual,Small Town,3,Very High,6,PhD,"Astrology, Stand-up Comedy, Fashion",51,Moderate,0.58,Optimistic,46,16,4,475,92,0.13,12,After Midnight,Chat Ignored,1
Male,Bisexual,Suburban,2,Middle,3,High School,"MMA, Reading, Anime",166,Addicted,0.56,Optimistic,37,18,0,283,71,0,20,After Midnight,Instant Match,0
Female,Lesbian,Rural,4,Very High,6,No Formal Education,"Spirituality, Memes, Crafting",167,Addicted,0.6,Optimistic,196,18,0,148,46,0.18,7,Afternoon,Relationship Formed,0
Prefer Not to Say,Queer,Remote Area,5,Very High,6,Bachelor’s,"Music, Stand-up Comedy, Coding",80,High,0.36,Balanced,114,10,5,427,10,0.41,5,Early Morning,Chat Ignored,1
Male,Bisexual,Urban,1,Very High,6,Bachelor’s,"Gardening, Crafting, Hiking",231,Extreme User,0.29,Balanced,200,18,2,362,67,0.53,2,Morning,Mutual Match,0
Female,Bisexual,Small Town,3,Low,1,High School,"Skating, Gardening, Investing",192,Extreme User,0.37,Balanced,127,19,0,426,3,0.33,5,Morning,Chat Ignored,1
Non-binary,Lesbian,Metro,0,Upper-Middle,4,Postdoc,"Fitness, Spirituality, Tech",180,Extreme User,0.45,Optimistic,141,30,1,97,9,0.38,18,After Midnight,Blocked,0
Transgender,Asexual,Small Town,3,High,5,Associate’s,"DIY, Astrology, Poetry",143,Addicted,0.75,Swipe Maniac,161,22,6,29,35,0.32,17,After Midnight,Blocked,0
Male,Pansexual,Metro,0,Very High,6,Bachelor’s,"History, Poetry, Movies",125,Addicted,0.58,Optimistic,183,16,3,448,53,0.16,19,After Midnight,One-sided Like,0
Female,Demisexual,Urban,1,Low,1,MBA,"Politics, Dancing, Cooking",169,Addicted,0,Choosy,162,15,2,5,97,0.09,8,Late Night,Chat Ignored,1
Prefer Not to Say,Demisexual,Urban,1,Lower-Middle,2,Bachelor’s,"Binge-Watching, Sneaker Culture, Board Games",42,Moderate,0.18,Choosy,23,16,1,236,56,0.36,2,Afternoon,Blocked,0
Transgender,Asexual,Suburban,2,Middle,3,Master’s,"Astrology, K-pop, Startups",2,Barely,0.75,Swipe Maniac,165,15,0,213,94,0.18,13,Afternoon,Blocked,0
Transgender,Queer,Small Town,3,High,5,MBA,"Meditation, Coding, Music",106,High,0.38,Balanced,68,6,3,192,80,0.14,16,Late Night,No Action,0
Non-binary,Asexual,Urban,1,Very Low,0,Associate’s,"Skating, Motorcycling, Startups",156,Addicted,0.89,Swipe Maniac,96,18,0,122,64,0.32,3,Afternoon,Chat Ignored,1
Non-binary,Straight,Small Town,3,Low,1,High School,"Anime, Reading, Podcasts",42,Moderate,0.66,Optimistic,22,8,0,410,5,0.45,10,After Midnight,Catfished,0
Male,Bisexual,Suburban,2,Upper-Middle,4,No Formal Education,"Memes, Podcasts, Cooking",97,High,0.49,Optimistic,46,10,2,500,56,0.28,13,Evening,No Action,0
Female,Straight,Remote Area,5,Very Low,0,No Formal Education,"Coding, Spirituality, Movies",240,Extreme User,0.56,Optimistic,57,11,2,372,41,0.09,10,After Midnight,One-sided Like,0
Transgender,Lesbian,Urban,1,Low,1,Master’s,"Foodie, Binge-Watching, K-pop",237,Extreme User,0.92,Swipe Maniac,84,5,1,392,91,0.14,9,Morning,Catfished,0
Non-binary,Bisexual,Suburban,2,Low,1,PhD,"Art, Anime, Stand-up Comedy",186,Extreme User,0.63,Optimistic,2,2,6,197,31,0.33,18,After Midnight,Chat Ignored,1
Female,Straight,Urban,1,Middle,3,Master’s,"Running, Makeup, Poetry",128,Addicted,0.43,Optimistic,69,22,6,406,58,0.31,13,Morning,Catfished,0
Transgender,Asexual,Metro,0,Middle,3,Postdoc,"Running, Meditation, Astrology",242,Extreme User,0.42,Optimistic,37,4,6,170,97,0.24,9,Late Night,Relationship Formed,0
Female,Gay,Small Town,3,Upper-Middle,4,Postdoc,"Cooking, Foodie, Gardening",294,Extreme User,0.25,Balanced,161,29,2,385,14,0.37,2,Early Morning,Blocked,0
Genderfluid,Demisexual,Small Town,3,Very High,6,Postdoc,"Painting, Podcasts, Social Activism",275,Extreme User,0.07,Choosy,181,15,2,262,47,0.39,7,After Midnight,Relationship Formed,0
Male,Straight,Rural,4,Low,1,High School,"History, MMA, Podcasts",243,Extreme User,0.54,Optimistic,76,15,2,325,42,0.3,23,Morning,Catfished,0
Transgender,Lesbian,Rural,4,High,5,No Formal Education,"Writing, Board Games, Traveling",101,High,0.63,Optimistic,195,28,0,253,45,0.37,16,Early Morning,Date Happened,0
Female,Lesbian,Remote Area,5,Middle,3,Diploma,"Hiking, Gardening, Painting",285,Extreme User,0.75,Swipe Maniac,7,4,1,399,79,0.42,4,Evening,Mutual Match,0
Transgender,Pansexual,Rural,4,Middle,3,Diploma,"Fashion, Traveling, Binge-Watching",71,High,0.28,Balanced,28,1,3,210,41,0.5,14,Morning,Relationship Formed,0
Genderfluid,Straight,Metro,0,Very High,6,Bachelor’s,"History, Skating, Makeup",298,Extreme User,0.43,Optimistic,30,2,0,343,46,0.43,16,After Midnight,Mutual Match,0
Female,Queer,Rural,4,Very High,6,Diploma,"Hiking, Coding, Politics",16,Low,0.77,Swipe Maniac,104,20,1,486,54,0.2,22,Afternoon,Mutual Match,0
Transgender,Demisexual,Suburban,2,Low,1,Postdoc,"Politics, Anime, MMA",83,High,0.34,Balanced,40,1,1,17,61,0.24,17,Early Morning,Date Happened,0
Male,Bisexual,Rural,4,Low,1,Diploma,"Skating, Crafting, Music",70,High,0.17,Choosy,199,7,5,35,94,0.54,15,Late Night,Mutual Match,0
Non-binary,Pansexual,Metro,0,Middle,3,Associate’s,"Anime, Fitness, Foodie",201,Extreme User,0.51,Optimistic,144,17,4,39,5,0.34,5,Morning,Mutual Match,0
Transgender,Lesbian,Rural,4,High,5,Master’s,"Gardening, Crafting, Languages",19,Low,0.62,Optimistic,25,0,5,11,70,0.28,9,Afternoon,Mutual Match,0
Female,Queer,Suburban,2,Low,1,Associate’s,"Investing, Foodie, Fitness",199,Extreme User,0.34,Balanced,132,20,3,367,13,0.21,23,Late Night,Blocked,0
Male,Demisexual,Suburban,2,Very Low,0,MBA,"Cars, Music, Makeup",215,Extreme User,0.28,Balanced,117,28,3,23,79,0.29,1,Evening,Catfished,0
Transgender,Straight,Remote Area,5,Low,1,Postdoc,"Anime, Music, Yoga",99,High,0.62,Optimistic,66,2,0,333,62,0.5,20,Early Morning,Chat Ignored,1
Non-binary,Demisexual,Rural,4,Lower-Middle,2,No Formal Education,"Gardening, Gaming, Languages",208,Extreme User,0.38,Balanced,79,21,0,47,18,0.18,4,Evening,Relationship Formed,0
Genderfluid,Bisexual,Urban,1,Very High,6,Bachelor’s,"Yoga, Cars, Memes",85,High,0.67,Optimistic,28,6,6,346,34,0.36,5,Afternoon,Catfished,0
Prefer Not to Say,Pansexual,Remote Area,5,High,5,Bachelor’s,"Photography, Anime, Clubbing",202,Extreme User,0.63,Optimistic,100,29,1,271,2,0.33,19,Early Morning,No Action,0
Non-binary,Pansexual,Metro,0,High,5,MBA,"Dancing, Languages, Foodie",278,Extreme User,0.37,Balanced,53,9,3,53,35,0.14,8,Late Night,Blocked,0
Female,Asexual,Remote Area,5,Upper-Middle,4,No Formal Education,"Poetry, Memes, Podcasts",164,Addicted,0.6,Optimistic,69,9,4,370,16,0.59,17,Early Morning,Instant Match,0
Prefer Not to Say,Lesbian,Urban,1,Lower-Middle,2,High School,"Investing, Traveling, Yoga",142,Addicted,1,Swipe Maniac,108,4,0,362,78,0.53,6,Morning,Mutual Match,0
Prefer Not to Say,Bisexual,Metro,0,High,5,Associate’s,"Movies, Reading, Photography",177,Addicted,0.61,Optimistic,55,21,0,115,35,0.31,13,Early Morning,Blocked,0
Female,Lesbian,Remote Area,5,Very High,6,MBA,"Makeup, History, Tech",100,High,0.21,Balanced,14,3,3,474,87,0.24,9,Afternoon,Instant Match,0
Genderfluid,Asexual,Metro,0,Middle,3,High School,"Painting, Gaming, Stand-up Comedy",185,Extreme User,0.53,Optimistic,64,7,4,306,19,0.2,16,Morning,Relationship Formed,0
Prefer Not to Say,Straight,Rural,4,Lower-Middle,2,No Formal Education,"Music, Fitness, Gardening",77,High,0.59,Optimistic,191,29,3,271,88,0.12,7,Morning,Instant Match,0
Non-binary,Pansexual,Small Town,3,Middle,3,PhD,"Podcasts, Art, Fashion",289,Extreme User,0.44,Optimistic,88,29,5,258,90,0.62,16,After Midnight,Instant Match,0
Prefer Not to Say,Bisexual,Small Town,3,Very High,6,MBA,"Languages, Reading, Photography",261,Extreme User,0.42,Optimistic,22,16,3,279,81,0.48,20,After Midnight,Ghosted,2
Female,Lesbian,Suburban,2,High,5,Master’s,"Politics, Sneaker Culture, Cars",83,High,0.68,Optimistic,17,16,2,27,16,0.51,1,After Midnight,Catfished,0
Female,Asexual,Small Town,3,Low,1,Diploma,"Coding, Traveling, Astrology",2,Barely,0.5,Optimistic,194,24,4,396,28,0.15,22,Late Night,Mutual Match,0
Genderfluid,Demisexual,Small Town,3,Low,1,Bachelor’s,"Memes, Motorcycling, Tattoos",153,Addicted,0.16,Choosy,162,13,0,52,81,0.26,1,Late Night,Date Happened,0
Prefer Not to Say,Straight,Metro,0,Low,1,Bachelor’s,"Yoga, Motorcycling, Clubbing",281,Extreme User,0.58,Optimistic,61,4,6,480,45,0.18,2,Morning,Date Happened,0
Non-binary,Pansexual,Small Town,3,Upper-Middle,4,Bachelor’s,"Music, Fitness, Parenting",104,High,0.31,Balanced,68,6,1,126,73,0.23,10,Late Night,Ghosted,2
Transgender,Straight,Rural,4,Low,1,No Formal Education,"Podcasts, Parenting, Reading",271,Extreme User,0.35,Balanced,118,17,2,279,46,0.21,16,Afternoon,Instant Match,0
Transgender,Pansexual,Remote Area,5,High,5,Associate’s,"Spirituality, Poetry, Traveling",74,High,0.44,Optimistic,181,4,0,9,42,0.2,19,Morning,Date Happened,0
Transgender,Pansexual,Urban,1,Very High,6,Bachelor’s,"Painting, MMA, Gardening",233,Extreme User,0.68,Optimistic,86,21,1,305,74,0.29,3,Afternoon,Chat Ignored,1
Male,Bisexual,Remote Area,5,Lower-Middle,2,High School,"Photography, Gardening, Hiking",76,High,0.62,Optimistic,128,16,2,382,7,0.74,7,Late Night,Date Happened,0
Transgender,Straight,Remote Area,5,Middle,3,MBA,"Foodie, Yoga, Podcasts",274,Extreme User,0.16,Choosy,91,20,3,108,12,0.43,16,Late Night,Chat Ignored,1
Female,Bisexual,Suburban,2,Upper-Middle,4,Master’s,"Parenting, Crafting, Meditation",186,Extreme User,0.06,Choosy,145,23,6,304,97,0.11,3,After Midnight,Chat Ignored,1
Female,Straight,Remote Area,5,Middle,3,Master’s,"Poetry, Foodie, DIY",185,Extreme User,0.59,Optimistic,147,22,5,296,12,0.26,0,After Midnight,Chat Ignored,1
Non-binary,Straight,Urban,1,Upper-Middle,4,High School,"Sneaker Culture, Social Activism, Skating",292,Extreme User,0.61,Optimistic,103,6,1,241,25,0.21,1,After Midnight,Ghosted,2
Male,Pansexual,Small Town,3,Very High,6,No Formal Education,"Languages, Memes, History",178,Addicted,0.72,Swipe Maniac,134,20,5,6,52,0.08,11,Afternoon,Mutual Match,0
Male,Lesbian,Urban,1,Low,1,Master’s,"Foodie, Memes, K-pop",215,Extreme User,0.51,Optimistic,171,0,2,9,90,0.29,9,After Midnight,Date Happened,0
Female,Demisexual,Metro,0,Lower-Middle,2,PhD,"Clubbing, Startups, Foodie",123,Addicted,0.48,Optimistic,87,11,4,304,18,0.49,17,Afternoon,Relationship Formed,0
Non-binary,Bisexual,Remote Area,5,Middle,3,Postdoc,"Skating, Tattoos, Reading",138,Addicted,0.76,Swipe Maniac,195,18,3,146,66,0.34,23,Late Night,Chat Ignored,1
Prefer Not to Say,Pansexual,Metro,0,Very Low,0,High School,"Spirituality, Clubbing, Photography",159,Addicted,0.82,Swipe Maniac,124,17,5,359,64,0.37,14,Morning,Date Happened,0
Female,Pansexual,Rural,4,Very Low,0,Associate’s,"Astrology, Makeup, History",142,Addicted,0.21,Balanced,187,16,3,448,19,0.39,19,After Midnight,Date Happened,0
Prefer Not to Say,Lesbian,Remote Area,5,Upper-Middle,4,Associate’s,"K-pop, Languages, Spirituality",291,Extreme User,0.63,Optimistic,116,1,5,207,10,0.48,11,Morning,Mutual Match,0
Male,Demisexual,Suburban,2,Very High,6,No Formal Education,"Movies, MMA, Parenting",207,Extreme User,0.29,Balanced,89,4,4,294,85,0.38,18,Morning,No Action,0
Male,Bisexual,Urban,1,Upper-Middle,4,Master’s,"Writing, Sneaker Culture, Clubbing",274,Extreme User,0.47,Optimistic,106,15,2,199,86,0.34,10,Late Night,Blocked,0
Transgender,Gay,Suburban,2,Very High,6,Postdoc,"Crafting, Art, Writing",191,Extreme User,0.77,Swipe Maniac,128,22,1,106,59,0.41,8,Late Night,Blocked,0
Male,Asexual,Small Town,3,Lower-Middle,2,High School,"Memes, Motorcycling, Investing",256,Extreme User,0.59,Optimistic,136,11,2,18,83,0.19,8,Morning,One-sided Like,0
Male,Bisexual,Rural,4,Very Low,0,No Formal Education,"Politics, Movies, Social Activism",274,Extreme User,0.71,Swipe Maniac,131,19,6,60,7,0.42,10,Afternoon,Date Happened,0
Non-binary,Queer,Small Town,3,Very High,6,MBA,"Parenting, Crafting, History",46,Moderate,0.42,Optimistic,118,2,2,385,47,0.3,19,Afternoon,Catfished,0
Transgender,Bisexual,Small Town,3,Lower-Middle,2,MBA,"Sneaker Culture, Music, Pets",270,Extreme User,0.45,Optimistic,91,4,3,98,87,0.02,21,After Midnight,Relationship Formed,0
Non-binary,Queer,Small Town,3,Middle,3,Master’s,"Reading, Podcasts, Parenting",4,Barely,0.38,Balanced,153,2,5,18,21,0.41,18,Evening,Chat Ignored,1
Male,Pansexual,Metro,0,Very High,6,PhD,"Foodie, Investing, Tech",193,Extreme User,0.51,Optimistic,40,26,5,460,66,0.31,13,Late Night,Blocked,0
Genderfluid,Straight,Suburban,2,Low,1,Master’s,"Fashion, Painting, Makeup",93,High,0.31,Balanced,137,4,3,429,88,0.12,8,Early Morning,Catfished,0
Transgender,Pansexual,Metro,0,Low,1,Master’s,"Cooking, Languages, Gaming",227,Extreme User,0.68,Optimistic,57,1,0,48,54,0.49,13,After Midnight,No Action,0
Prefer Not to Say,Queer,Small Town,3,Low,1,PhD,"DIY, Foodie, Cars",160,Addicted,0.34,Balanced,173,16,3,366,70,0.37,4,Late Night,Chat Ignored,1
Non-binary,Pansexual,Urban,1,Upper-Middle,4,Associate’s,"Coding, Music, Movies",143,Addicted,0.99,Swipe Maniac,94,26,6,458,14,0.33,14,Late Night,No Action,0
Female,Straight,Metro,0,Low,1,PhD,"Coding, Crafting, Anime",210,Extreme User,0.36,Balanced,108,10,2,68,7,0.07,23,Early Morning,Ghosted,2
Male,Straight,Metro,0,High,5,High School,"K-pop, Stand-up Comedy, Binge-Watching",43,Moderate,0.6,Optimistic,26,16,2,163,37,0.07,12,Afternoon,Ghosted,2
Male,Asexual,Rural,4,Upper-Middle,4,MBA,"Hiking, Coding, Binge-Watching",183,Extreme User,0.71,Swipe Maniac,101,0,5,35,96,0.26,20,Early Morning,One-sided Like,0
Genderfluid,Asexual,Remote Area,5,Low,1,Diploma,"Dancing, History, Running",36,Moderate,0.36,Balanced,108,28,1,440,39,0.54,10,Late Night,Date Happened,0
Genderfluid,Lesbian,Remote Area,5,Low,1,Master’s,"Gardening, Foodie, Board Games",137,Addicted,0.35,Balanced,67,4,3,8,54,0.33,8,Evening,Instant Match,0
Genderfluid,Lesbian,Remote Area,5,Low,1,High School,"Fitness, History, Podcasts",186,Extreme User,0.64,Optimistic,124,6,1,477,34,0.18,13,Afternoon,Chat Ignored,1
Male,Asexual,Remote Area,5,Very High,6,Bachelor’s,"Art, Social Activism, Writing",144,Addicted,0.37,Balanced,196,7,0,401,70,0.12,9,Evening,Catfished,0
Female,Queer,Remote Area,5,Low,1,No Formal Education,"Motorcycling, Coding, Gaming",250,Extreme User,0.42,Optimistic,194,28,2,301,4,0.31,18,Evening,Date Happened,0
Non-binary,Asexual,Small Town,3,Low,1,Associate’s,"Memes, Poetry, Movies",51,Moderate,0.62,Optimistic,139,8,0,448,28,0.42,5,Morning,Relationship Formed,0
Non-binary,Asexual,Suburban,2,Very Low,0,PhD,"Dancing, Meditation, Photography",273,Extreme User,0.77,Swipe Maniac,70,4,4,46,5,0.26,11,After Midnight,Relationship Formed,0
Male,Demisexual,Small Town,3,Very Low,0,Master’s,"Astrology, Investing, DIY",293,Extreme User,0.67,Optimistic,88,6,1,214,74,0.08,20,After Midnight,One-sided Like,0
Transgender,Gay,Metro,0,Upper-Middle,4,Master’s,"Stand-up Comedy, Dancing, Astrology",292,Extreme User,0.63,Optimistic,69,14,5,15,37,0.38,21,Afternoon,No Action,0
Female,Pansexual,Rural,4,Low,1,Diploma,"Languages, Coding, Music",12,Very Low,0.06,Choosy,175,15,5,418,43,0.27,12,After Midnight,Date Happened,0
Genderfluid,Demisexual,Metro,0,Very Low,0,MBA,"Hiking, Politics, Running",131,Addicted,0.18,Choosy,78,0,1,201,93,0.2,12,Early Morning,Instant Match,0
Male,Queer,Rural,4,Lower-Middle,2,Diploma,"Parenting, Poetry, Astrology",120,Addicted,0.3,Balanced,197,26,0,330,23,0.37,4,Early Morning,One-sided Like,0
Transgender,Lesbian,Urban,1,Very Low,0,High School,"Foodie, Painting, Cars",161,Addicted,0.4,Optimistic,50,16,5,483,55,0.08,20,Afternoon,Mutual Match,0
Prefer Not to Say,Lesbian,Small Town,3,Middle,3,Postdoc,"Languages, Hiking, Startups",118,High,0.44,Optimistic,66,25,6,388,24,0.23,10,Morning,Instant Match,0
Female,Pansexual,Metro,0,Very Low,0,Bachelor’s,"Crafting, Binge-Watching, Foodie",92,High,0.55,Optimistic,190,29,4,351,42,0.2,16,Early Morning,One-sided Like,0
Male,Lesbian,Suburban,2,Very Low,0,No Formal Education,"Poetry, Photography, Reading",59,Moderate,0.52,Optimistic,186,6,5,413,81,0.36,1,After Midnight,One-sided Like,0
Female,Straight,Urban,1,Lower-Middle,2,MBA,"Startups, Tattoos, Astrology",142,Addicted,0.49,Optimistic,169,23,3,303,25,0.25,5,After Midnight,Chat Ignored,1
Genderfluid,Lesbian,Remote Area,5,Very High,6,Master’s,"Coding, Anime, Foodie",207,Extreme User,0.5,Optimistic,100,24,3,205,88,0.21,14,Early Morning,Date Happened,0
Transgender,Pansexual,Metro,0,Very High,6,No Formal Education,"Yoga, K-pop, Fashion",57,Moderate,0.4,Optimistic,84,5,5,69,73,0.24,23,Afternoon,Catfished,0
Genderfluid,Lesbian,Suburban,2,Lower-Middle,2,Diploma,"K-pop, Fashion, Photography",110,High,0.34,Balanced,48,17,3,61,35,0.3,7,Evening,Relationship Formed,0
Transgender,Straight,Remote Area,5,Upper-Middle,4,Bachelor’s,"Politics, Art, History",171,Addicted,0.68,Optimistic,50,24,5,424,29,0.23,22,Evening,Date Happened,0
Female,Gay,Metro,0,High,5,Diploma,"Foodie, Social Activism, Yoga",249,Extreme User,0.61,Optimistic,33,16,2,467,14,0.3,16,Morning,Mutual Match,0
Female,Bisexual,Rural,4,Lower-Middle,2,Postdoc,"Anime, Skating, Memes",121,Addicted,0.46,Optimistic,95,24,4,76,80,0.62,2,After Midnight,Mutual Match,0
Female,Demisexual,Urban,1,Very Low,0,Associate’s,"Startups, Investing, Languages",270,Extreme User,0.45,Optimistic,36,5,1,93,15,0.26,21,Evening,Relationship Formed,0
Male,Pansexual,Rural,4,Lower-Middle,2,No Formal Education,"Motorcycling, Fitness, Sneaker Culture",59,Moderate,0.89,Swipe Maniac,42,5,1,337,31,0.31,0,Morning,Ghosted,2
Genderfluid,Gay,Urban,1,Upper-Middle,4,MBA,"Foodie, Astrology, MMA",170,Addicted,0.25,Balanced,18,3,4,488,100,0.27,21,Afternoon,Instant Match,0
Transgender,Straight,Rural,4,Upper-Middle,4,High School,"Parenting, Crafting, Anime",187,Extreme User,0.53,Optimistic,138,21,2,239,54,0.23,19,Afternoon,Instant Match,0
Male,Bisexual,Metro,0,High,5,PhD,"Fashion, Poetry, Anime",107,High,0.51,Optimistic,72,15,6,69,41,0.22,0,Early Morning,Relationship Formed,0
Non-binary,Asexual,Small Town,3,Middle,3,High School,"Foodie, Fitness, Startups",297,Extreme User,0.31,Balanced,168,19,6,119,49,0.54,10,Early Morning,Blocked,0
Female,Straight,Small Town,3,Lower-Middle,2,High School,"Fitness, Anime, Investing",224,Extreme User,0.64,Optimistic,164,11,4,250,31,0.3,22,Morning,Relationship Formed,0
Female,Lesbian,Remote Area,5,Very Low,0,High School,"Gardening, Social Activism, Gaming",165,Addicted,0.44,Optimistic,145,13,4,468,12,0.08,3,After Midnight,Ghosted,2
Non-binary,Asexual,Urban,1,Very Low,0,No Formal Education,"DIY, Gaming, Motorcycling",194,Extreme User,0.56,Optimistic,191,30,0,46,9,0.55,7,After Midnight,Relationship Formed,0
Transgender,Straight,Remote Area,5,High,5,Diploma,"Board Games, Crafting, Languages",174,Addicted,0.57,Optimistic,22,7,3,206,79,0.16,2,Morning,Catfished,0
Non-binary,Bisexual,Suburban,2,Upper-Middle,4,Master’s,"Stand-up Comedy, Yoga, Coding",230,Extreme User,0.44,Optimistic,38,15,0,419,65,0.27,20,Late Night,Chat Ignored,1
Female,Asexual,Rural,4,Very Low,0,Diploma,"Memes, Investing, Startups",82,High,0.64,Optimistic,183,12,3,91,87,0.3,2,Afternoon,No Action,0
Prefer Not to Say,Lesbian,Small Town,3,Low,1,MBA,"Tattoos, Art, Gaming",235,Extreme User,0.25,Balanced,10,4,0,195,5,0.13,18,Morning,One-sided Like,0
Transgender,Pansexual,Small Town,3,Middle,3,MBA,"K-pop, Pets, Social Activism",216,Extreme User,0.2,Balanced,115,6,3,499,14,0.08,10,Evening,One-sided Like,0
Non-binary,Gay,Metro,0,High,5,High School,"Investing, Makeup, Cooking",125,Addicted,0.44,Optimistic,18,12,0,386,72,0.08,2,Late Night,Mutual Match,0
Transgender,Pansexual,Suburban,2,High,5,High School,"MMA, Cooking, Gardening",14,Very Low,0.62,Optimistic,134,1,2,80,20,0.23,7,Evening,Catfished,0
Genderfluid,Queer,Metro,0,Low,1,Master’s,"Meditation, Investing, Dancing",147,Addicted,0.26,Balanced,9,1,4,427,44,0.18,7,Evening,Catfished,0
Female,Queer,Urban,1,Middle,3,No Formal Education,"Writing, Politics, History",73,High,0.25,Balanced,61,6,6,75,51,0.03,12,After Midnight,Ghosted,2
Transgender,Gay,Suburban,2,Low,1,Associate’s,"Politics, Cars, Photography",104,High,0.31,Balanced,59,14,4,367,92,0.14,21,After Midnight,Chat Ignored,1
Genderfluid,Bisexual,Urban,1,Lower-Middle,2,Associate’s,"Cars, Tattoos, Crafting",183,Extreme User,0.54,Optimistic,140,6,1,97,12,0.47,5,Morning,Instant Match,0
Transgender,Demisexual,Urban,1,Very High,6,Postdoc,"Podcasts, History, Social Activism",60,High,0.75,Swipe Maniac,166,2,3,489,72,0.31,8,Early Morning,Relationship Formed,0
Non-binary,Asexual,Rural,4,Very High,6,PhD,"Dancing, Crafting, Politics",77,High,0.49,Optimistic,185,1,5,489,94,0.46,11,Late Night,Blocked,0
Non-binary,Demisexual,Metro,0,Very Low,0,Master’s,"Dancing, Yoga, Traveling",191,Extreme User,0.67,Optimistic,157,26,5,99,41,0.7,19,After Midnight,No Action,0
Transgender,Demisexual,Rural,4,Very High,6,No Formal Education,"Running, Dancing, Investing",266,Extreme User,0.7,Swipe Maniac,121,19,4,358,65,0.23,16,After Midnight,Ghosted,2
Non-binary,Bisexual,Rural,4,Lower-Middle,2,High School,"Crafting, Meditation, Makeup",297,Extreme User,0.64,Optimistic,95,3,1,319,18,0.17,9,Afternoon,Ghosted,2
Transgender,Pansexual,Rural,4,Very Low,0,Master’s,"Memes, Gaming, Yoga",169,Addicted,0.1,Choosy,163,3,6,434,81,0.19,13,After Midnight,Ghosted,2
Non-binary,Demisexual,Suburban,2,Upper-Middle,4,High School,"Movies, Painting, Gaming",147,Addicted,0.65,Optimistic,112,10,2,25,32,0.18,13,Afternoon,Relationship Formed,0
Prefer Not to Say,Queer,Remote Area,5,Middle,3,Postdoc,"Yoga, Gardening, Makeup",191,Extreme User,0.57,Optimistic,144,30,1,228,4,0.08,3,Late Night,Relationship Formed,0
Female,Straight,Remote Area,5,Lower-Middle,2,PhD,"Music, Clubbing, Languages",109,High,0.34,Balanced,75,27,3,137,73,0.29,0,Afternoon,Chat Ignored,1
Female,Bisexual,Metro,0,Very High,6,Postdoc,"Languages, Photography, Spirituality",117,High,0.83,Swipe Maniac,148,19,2,23,4,0.23,9,Evening,Instant Match,0
Male,Bisexual,Urban,1,High,5,MBA,"History, Meditation, Music",68,High,0.8,Swipe Maniac,36,4,1,352,70,0.17,0,Late Night,Catfished,0
Transgender,Bisexual,Urban,1,Lower-Middle,2,Postdoc,"Music, Foodie, Parenting",157,Addicted,0.68,Optimistic,180,19,0,303,95,0.3,1,Afternoon,One-sided Like,0
Transgender,Asexual,Suburban,2,Upper-Middle,4,Associate’s,"Board Games, Photography, Poetry",185,Extreme User,0.59,Optimistic,38,12,3,327,44,0.57,3,Evening,No Action,0
Genderfluid,Straight,Small Town,3,Low,1,High School,"Sneaker Culture, Crafting, Clubbing",10,Very Low,0.16,Choosy,197,7,2,104,59,0.22,18,Early Morning,Ghosted,2
Genderfluid,Gay,Urban,1,Upper-Middle,4,Associate’s,"Cooking, Writing, MMA",215,Extreme User,0.51,Optimistic,157,17,0,166,25,0.15,13,Morning,No Action,0
Genderfluid,Demisexual,Metro,0,Low,1,MBA,"Memes, Tech, Meditation",288,Extreme User,0.6,Optimistic,64,21,3,336,70,0.16,23,Morning,Blocked,0
Male,Queer,Small Town,3,Very High,6,No Formal Education,"Meditation, Investing, Stand-up Comedy",114,High,0.15,Choosy,98,29,5,271,94,0.03,12,Evening,Mutual Match,0
Transgender,Asexual,Remote Area,5,Low,1,Bachelor’s,"Social Activism, Languages, Anime",88,High,0.37,Balanced,124,2,1,488,3,0.35,20,Morning,Chat Ignored,1
Male,Bisexual,Rural,4,Lower-Middle,2,High School,"Fashion, Gaming, Gardening",266,Extreme User,0.34,Balanced,163,23,0,382,71,0.34,20,Late Night,Chat Ignored,1
Male,Straight,Metro,0,Lower-Middle,2,High School,"Astrology, Gardening, Memes",15,Low,0.49,Optimistic,160,6,3,256,27,0.22,16,Late Night,Chat Ignored,1
